node_name,node_category,node_topic,node_disease,node_patient
Decreased Ability to Access Key Services,Human Impact,Tropical Cyclones,,All
Decreased Ability to Evacuate Before Hurricane Impact,Human Impact,Tropical Cyclones,,All
Decreased Ability to Prepare for Hurricane Impact,Human Impact,Tropical Cyclones,,All
Decreased Availability of Unaffected Areas Near Hurricane Disaster Areas,Human Impact,Tropical Cyclones,,All
Decreased Hurricane Translocation Speed,Earth System,Tropical Cyclones,,
Decreased Population Mobility,Human Impact,Tropical Cyclones,,All
Increase in Toxic Mold Exposure,Human Impact,Tropical Cyclones,,All
Increased Availability of Energy to Hurricanes,Earth System,Tropical Cyclones,,
Increased Availability of Moisture to Hurricanes,Earth System,Tropical Cyclones,,
Increased Crop Damage,Human Impact,Tropical Cyclones,,All
Increased Damage to Infrastructure,Human Impact,Tropical Cyclones,,All
Increased Delayed Mortality,Health Impact,Tropical Cyclones,Mortality,All
Increased Demand for Sheltering,Human Impact,Tropical Cyclones,,All
Increased Drowning,Health Impact,Tropical Cyclones,Respiratory,"All,Women,Children,Geriatric"
Increased Flash Flood Risk,Earth System,Tropical Cyclones,,
Increased Geographic Extent of Hurricane Impact,Earth System,Tropical Cyclones,,
Increased Home Abandonment,Human Impact,Tropical Cyclones,,All
Increased Hurricane Energy Transfer to Affected Communities,Earth System,Tropical Cyclones,,
Increased Hurricane Maximum Wind Speeds,Earth System,Tropical Cyclones,,
Increased Hurricane Rainfall in Affected Communities,Earth System,Tropical Cyclones,,
Increased Hurricane Size,Earth System,Tropical Cyclones,,
Increased Immediate Mortality,Health Impact,Tropical Cyclones,Mortality,All
Increased Landslide Risk,Earth System,Tropical Cyclones,,
Increased Long-term Emigration from Affected Region,Human Impact,Tropical Cyclones,,All
Increased Point-Specific Duration of Hurricane Conditions,Earth System,Tropical Cyclones,,
Increased Risk of Asthma,Health Impact,Tropical Cyclones,Respiratory,"All,Children"
Increased Risk of Infectious Diseases,Health Impact,Tropical Cyclones,Infectious Disease,All
Increased Structural Damage,Human Impact,Tropical Cyclones,,All
Increased Surface Flooding,Earth System,Tropical Cyclones,,
Increased Water Damage to Homes,Human Impact,Tropical Cyclones,,All
Increased Water Source Contamination,Human Impact,Tropical Cyclones,,All
Increasing Sea Surface Temperature,Earth System,Tropical Cyclones,,
More Pronounced Rapid Intensification,Earth System,Tropical Cyclones,,
Shorter Warning Window for Severe Hurricanes,Human Impact,Tropical Cyclones,,All
Weakening Summertime Tropical Atmospheric Circulation,Earth System,Tropical Cyclones,,